الرقم,القسم,المتطلب,فقرات المصدر,الحالة,مكانه في النظام,الدليل,النتيجة وما ينقص,أساس التصنيف,ضمن فجوات المطابقة
R017,المزودون والفئات,منع البيع بسعر صفر مع تنبيه الجهات المعنية,165-184،297-326,محلي,البيع، الأسعار والاعتمادات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,السعر غير الصالح يمنع الإصدار ويسجل تنبيهًا للجهة المعنية.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R018,المزودون والفئات,اختيار بيانات البطاقة المطلوبة عبر جك بوكس,186-205،849,محلي,المنتجات والفئات,card-fields.js؛ test-card-fields.cjs,PIN والانتهاء إلزاميان، والسيريال وCVC والمرجع حسب الاختيار. هذا مطابق لتعديل المستخدم اللاحق.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R019,المزودون والفئات,فصل سيريال النظام عن سيريال المزود,186-205,محلي,الطلبيات والاستيراد، بطاقات الدفعة، الوصل,engine.js:importBatch؛ app.js,لكل بطاقة internal مستقل وserial للمزود؛ عدم وجود سيريال المورد لا يلغي المعرف الداخلي.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R020,المزودون والفئات,قوالب مرنة لحقول عالمية إضافية وطباعتها,186-205,محلي,المنتجات والفئات، الاستيراد، الوصل,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,حقول إضافية مسماة للفئة، مع تحديد الإلزام والتحقق عند الاستيراد وإظهار القيم في الوصل.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R021,الاستيراد والمخزون,بيانات الطلبية والوكيل الرئيسي والمجهز والتكلفة,207-240,محلي,الطلبيات والاستيراد,engine.js:validateImport؛ app.js,النموذج يحدد الدفعة وفئتها وتكلفتها ومصاريفها، ويرفض مخزون الفرعي.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R022,الاستيراد والمخزون,تحميل CSV أو لصق محتواه وتنزيل قالب للفئة,207-240,محلي,الطلبيات والاستيراد,app.js:importNext؛ card-fields.js,القالب يتبع الحقول المختارة. اللصق يحتاج محتوى CSV منظمًا؛ ليس أي ملف مزود بصيغته الأصلية.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R023,الاستيراد والمخزون,TXT وExcel الأصلي وقوالب المزود وربط الأعمدة,207-240،727-746،847,محلي,الطلبيات والاستيراد,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,قراءة XLSX فعلي وCSV وTXT/TSV وربط الأعمدة وحفظ قالب المزود. اختبر Excel مع الأصفار البادئة والتاريخ. XLS القديم غير مدعوم؛ يحفظ بصيغة XLSX.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R024,الاستيراد والمخزون,رفع ملفات متعددة والتعرف على الفئة لكل ملف,207-224،328,محلي,الطلبيات والاستيراد,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,رفع عدة ملفات وصفحات Excel، وتعيين الفئة والتكلفة وسعر التحميل لكل ملف. اقتراح الفئة عندما يتضمن الاسم معرفها؛ يلزم تأكيد الاختيار.,طلب تطوير صريح في التسجيل,لا
R025,الاستيراد والمخزون,فحص التكرار والنقص والانتهاء قبل الاعتماد,207-240,محلي,الطلبيات والاستيراد,engine.js:validateImport؛ test-card-fields.cjs,يفحص PIN والسيريال ضمن الفئة والتواريخ والحقول؛ يعرض أخطاء الصفوف ثم يحمل الصحيح.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R026,الاستيراد والمخزون,حفظ المسودة ودورة مراجعة الدفعة والقبول الجزئي,207-240,معلق,الطلبيات والاستيراد,app.js:importNext؛ engine.js:importBatch,المعاينة وفحص الصفوف والتحميل الجزئي موجودة. الفقرات 227–239 تسمي الحالات مقترحة؛ غياب Draft أو Pending Review كدورة مستقلة ليس نقصًا مؤكدًا قبل اعتمادها.,حالات مقترحة وليست قرارًا نهائيًا,لا
R027,الاستيراد والمخزون,الكمية والتكلفة الدفترية وحالات البطاقات,242-289,محلي,المخزون والدفعات,engine.js:refreshBatch؛ reports.js,المتاح والمصدر والمطبوع والمحجور يظهرون محليًا. «تم إصدارها» لا يثبت شحن البطاقة عند شركة الاتصالات.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R028,الاستيراد والمخزون,تحميل الدفعة يولد رصيد Voucher تشغيليًا,290-295،831-837,محلي,الطلبيات والاستيراد، المحافظ,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,تحميل دفعة جديدة ينشئ رصيد Voucher وفق سعر التحميل. الأرصدة النقدية السابقة محفوظة دون تحويل تلقائي؛ الرصيد الافتتاحي للمخزون السابق موثق بتكلفته.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R029,الاستيراد والمخزون,منع حذف الدفعة بعد خروج بطاقات منها,207-240,محلي,المخزون والدفعات,engine.js:batchAction؛ test-engine.cjs,الإلغاء بعد الإصدار مرفوض، والإلغاء قبل الإصدار يمنع البيع. أثر القيد المالي العكسي غير موجود بعد.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R030,الاستيراد والمخزون,FEFO ثم FIFO ومنع المنتهي والمحجور,569-576,محلي,المخزون والدفعات، البيع,engine.js:sell؛ test-engine.cjs,يختار الأقرب انتهاء ثم الأقدم إدخالًا ولا يسحب المحجور أو المنتهي.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R031,الاستيراد والمخزون,كشف أن رمز البطاقة شحن عند المزود,850,ربط,المخزون والتكاملات,engine.js:sell,الحالة المحلية تعني بيعًا أو إصدارًا داخل النظام. إثبات شحن سابق يحتاج تحقق المزود أو إجراء معالجة موثق؛ ليس موجودًا حاليًا.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R032,المحافظ والتمويل,دفاتر منفصلة Voucher وTop-up ولكل API,35،290-295،518-522,محلي,المحافظ والتحويلات، تكاملات API,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,دفتر رصيد منفصل للبطاقات وTop-up والنقد وكل مزود API، دون مقاصة تلقائية.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R033,المحافظ والتمويل,تحويل الرئيسي لفروعه ونقاطه والفرعي لنقاطه,67-74،412-425,محلي,المحافظ والتحويلات,engine.js:transfer؛ test-engine.cjs,تحويل منفرد بقيدين متقابلين وفحص المبلغ والرصيد والتبعية؛ لا يغطي مسار طلبات التمويل الجديد.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R034,المحافظ والتمويل,طلب تمويل من المستفيد مع حالة انتظار,426-438,محلي,غير موجودة,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,طلب تمويل يتضمن المصدر والمستفيد والخدمة والمبلغ والغرض وحالة الطلب.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R035,المحافظ والتمويل,اعتماد عدة طلبات بمبالغ مختلفة دفعة واحدة,37،426-438,محلي,غير موجودة,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,تحديد عدة طلبات واعتماد مبالغ مختلفة، مع معالجة مستقلة لكل مستفيد.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R036,المحافظ والتمويل,حجز الرصيد عند اعتماد التمويل وتسوية كل مستفيد,426-438,محلي,غير موجودة,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,اعتماد طلب منفرد يحجز المبلغ من المتاح ثم يسلم للمستفيد أو يحرر الحجز. التنفيذ الجماعي المحلي يعالج كل تحويل على حدة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R037,المحافظ والتمويل,منع تكرار التحويل والنقر المزدوج,37،426-438،658,محلي,المحافظ والتحويلات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,معرف ثابت يمنع تكرار التمويل أو طلب الخدمة؛ الطلب المختلف بنفس المعرف مرفوض.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R038,المحافظ والتمويل,عكس تحويل مالي مع مرجع وسبب,426-438,محلي,المحافظ والتحويلات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,عكس تحويل مسجل مع سبب ومرجع، ويمنع العكس إذا استهلك المستفيد الرصيد.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R039,المحافظ والتمويل,تقرير التمويل لكل مستفيد وإشعاره,426-438,محلي,التقارير، المحافظ,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,سجل تمويل حسب المستفيد والخدمة والنتيجة، وإشعار محلي للمستفيد.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R040,المحافظ والتمويل,استيراد تمويل جماعي من Excel أو CSV,426-438,محلي,غير موجودة,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,قراءة المستفيد والمبلغ من XLSX وCSV/TXT؛ مراجعة الأسطر ثم تنفيذ المجموعة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R041,المحافظ والتمويل,تمويل تلقائي اختياري بعتبات وحدود وموافقتين,426-438,معلق,غير موجودة,app.js؛ engine.js,ورد كخيار اختياري. لا يُحسب غيابه ضمن النواقص المؤكدة؛ يبقى التمويل الجماعي المطلوب صراحة بندًا منفصلًا.,خيار مقترح,لا
R042,المحافظ والتمويل,دين وسقف ائتمان وتحصيل مندوب أو QiCard,835-836،412-425,محلي,المحافظ والتحويلات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,فواتير وذمم وتحصيل مندوب أو QiCard أو مصرف وسقف يمنع تحميل دفعة تتجاوزه. إثبات تحصيل QiCard محلي وليس اتصالًا بالخدمة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R043,المحافظ والتمويل,مطابقة الرصيد التشغيلي بالمخزون والتوزيعات والحجوزات,290-295،600-603,محلي,التقارير، المحافظ,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,مطابقة قيمة البطاقات المتاحة والمحجوزة مع رصيد الرئيسي والرصيد الموزع، وإظهار الفرق.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R044,الأسعار والمحاسبة,سعر مستقل لكل وكيل وفئة مع حد أدنى,297-326,محلي,الأسعار والاعتمادات,engine.js:proposePrices؛ test-owner-prices.cjs,التغيير يطبق على الوكيل المحدد وفئته، وليس تلقائيًا على كل وكلاء النظام.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R045,الأسعار والمحاسبة,تسعير المحافظة والمنطقة وسعر الصرف وتاريخ النفاذ,297-326,محلي,الأسعار والاعتمادات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,سياسة سعر للوكيل والفئة والمحافظة وتاريخ النفاذ وسعر الصرف؛ يطبق السعر في الإصدار ويحفظ السعر التاريخي.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R046,الأسعار والمحاسبة,قالب أسعار بإصدار ومعاينة وتحقيق المعرفات,297-326,محلي,الأسعار والاعتمادات,app.js:downloadPrices/importPrices,قالب CSV بإصدار ومعرف وكيل وفئة، مع منع التكرار. ليس استيراد Excel أصليًا أو ملف أي مزود.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R047,الأسعار والمحاسبة,اعتماد مدير النظام لسعره فورًا,315،طلب المستخدم اللاحق,قرار,الأسعار والاعتمادات,test-owner-prices.cjs؛ engine.js:proposePrices,استُثني اشتراط مراجع ثانٍ لأسعار مدير النظام بطلبك. يبقى تعديل المدير مباشرًا، ولا يدخل هذا الاستثناء ضمن النواقص أو خطة التغيير.,مستثنى بقرار المستخدم,لا
R048,الأسعار والمحاسبة,اعتماد شخص آخر لغير المدير والتراجع عن الأسعار,297-326,محلي,الأسعار والاعتمادات,test-engine.cjs؛ engine.js:approvePrices/reversePrices,المراجعة والتحقق من تغير السعر والتراجع موجودة؛ البيع السابق يحتفظ بسعره المسجل.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R049,الأسعار والمحاسبة,سعر تحميل ثابت لكل وكيل ودفعة,327-335،837,محلي,الطلبيات والاستيراد، الأسعار,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,يثبت سعر التحميل في الدفعة والفاتورة عند الاعتماد.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R050,الأسعار والمحاسبة,فاتورة ماسال وربحها عند تحميل الدفعة,327-335،837,محلي,التقارير، الطلبيات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,فاتورة وقيمة وتكلفة وربح ماسال عند تحميل الدفعة، دون انتظار بيع نقطة البيع. لا فواتير مختلقة للدفعات السابقة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R051,الأسعار والمحاسبة,عقد عمولة أو إعادة بيع لكل وكيل,327-335،838-839,محلي,الوكلاء والشجرة,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,اختيار إعادة بيع أو عمولة للوحدة عند التحميل؛ نموذج الحساب محفوظ في الفاتورة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R052,الأسعار والمحاسبة,فصل ربح ماسال والوكيل وربح نقطة البيع,327-335,محلي,مركز التقارير الشامل,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,عرض ربح/إيراد ماسال وهامش الوكيل وهامش النقطة منفصلة. هامش النقطة يعتمد سعر التجزئة المدخل؛ إن لم يدخل، يكون مساويًا لسعر استقطاعها.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R053,الأسعار والمحاسبة,لا رسوم ولا ضرائب حاليًا,335،842,محلي,البيع والعمليات,engine.js:sell,الإجمالي هو الكمية × السعر، دون إضافة ضريبة أو رسم تلقائي.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R054,البيع والطباعة,بيع كمية من مخزن الرئيسي وخصم النقطة,338-378،844-846,محلي,البيع والطباعة، سجل العمليات,engine.js:sell؛ test-engine.cjs,اختيار البطاقات والخصم واللقطة السعرية موجودة محليًا. لا مخزون مستقل للنقطة أو نقل بطاقات بين الوكلاء.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R055,البيع والطباعة,منع تكرار البيع بنفس معرف الطلب,338-378،658,محلي,البيع والطباعة,engine.js:sell؛ test-engine.cjs,إعادة نفس المفتاح تعيد العملية السابقة دون خصم ثانٍ. حماية أجهزة متعددة تتطلب قفلًا ومعاملة بالخادم.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R056,البيع والطباعة,حجز غير مكشوف ثم كشف وإصدار مع تحرير الفشل,338-378,محلي,البيع والطباعة,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,حجز البطاقات دون كشف الرموز، إلغاؤه يعيد المتاح؛ الإصدار يستخدم البطاقات نفسها ويخصم مرة واحدة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R057,البيع والطباعة,عدم إرجاع PIN المكشوف للبيع عند فشل الطباعة,338-378,محلي,استثناءات الطباعة، سجل العمليات,test-engine.cjs,الفشل يحتفظ بالبطاقة للعملية نفسها، وإعادة الطباعة لا تخصم مرة أخرى.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R058,البيع والطباعة,طباعة المتصفح وتسجيل نجاح أو فشل,338-378,محلي,وصل العملية,app.js:printReceipt/printResult,زر المتصفح يفتح حواره؛ النتيجة تسجل يدويًا. فتح الحوار لا يثبت خروج الورقة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R059,البيع والطباعة,إعادة طباعة مع سبب وعدد ومحاولة ومستخدم وجهاز,338-378,محلي,سجل العمليات، استثناءات الطباعة,engine.js:reprint؛ audit-details.js,السبب والعدّاد وسجل المحاولات والوصل نفسه موجودة محليًا.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R060,البيع والطباعة,تطبيق حد إعادة الطباعة المخصص للوكيل,338-378,محلي,هوية الوكيل والوصل، نقاط البيع,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,الحد الفعال هو الأقل بين حد الوكيل وحد الجهاز. اختبر منع المحاولة عندما حد الوكيل صفر.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R061,البيع والطباعة,طلب إذن تجاوز الحد واعتماده دون تغيير السياسة العامة,338-378،855,محلي,استثناءات الطباعة,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,طلب استثناء لعملية واحدة، اعتماد أو رفض، ثم محاولة إضافية واحدة دون تغيير الحد العام.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R062,البيع والطباعة,تخصيص حدود البيع حسب الوكيل أو الجهاز,380-394,محلي,الفئات، الأمان، نقاط البيع,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,حدود عدد ومبلغ حسب الوكيل والجهاز والفئة؛ يطبق الأقل.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R063,البيع والطباعة,وصل بشعار وهوية الوكيل ومقاس 58 أو 80,396-410,محلي,هوية الوكيل والوصل,app.js:loadBrand/saveBrand؛ index.html,الشعار واللون والنصوص والدعم والعرض موجودة؛ لا تعني تكامل طابعة POS.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R064,البيع والطباعة,قالب مختلف لكل مزود وفئة ولغة وحقول البطاقة,396-410,محلي,هوية الوكيل والوصل,completion-engine.js؛ completion-ui.js؛ operations-locales.js؛ completion-locales.js؛ test-completion.cjs؛ test-completion-ui.cjs؛ test-locales.cjs,قالب وصورة وحقول وترويسة وتذييل وعرض لكل فئة، ولغة وصل مستقلة عن لغة الواجهة بالعربية والإنكليزية والكوردية. اختبر وصل English بواجهة عربية.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
